Customer_ID,Age,Gender,Region,Tenure_Months,Subscription_Type,Monthly_Spend,Support_Tickets,Churn_Flag,Signup_Date
C000001,18,Female,South,9,mid,34.02,1,0,17-02-2024
C000002,18,M,Central,60,BASIC,6.96,2,0,05-01-2023
C000003,53,Female,Central,13,Standard,19.16,3,0,18-09-2020
C000004,27,Female,North,91,Basic,15.29,0,0,30-10-2024
C000005,38,Female,North,71,Standard,37.09,0,0,20-07-2021
C000006,26,Male,East,29,Standard,23.91,2,No,17-10-2024
C000007,25,Female,South,65,Standard,₹34.73,2,1,02-11-2021
C000008,22,Non-binary,South,54, Basic  ,16.76,0,0,26-02-2024
C000009,23,Female,West,59,standard,34.91,2,,27-11-2021
C000010,27,Female,West,21,Basic,17.04,3,0,08-12-2019
C000011,28,Female,East,55,Enterprise,136.29,0,0,29-08-2023
c000012,23,Female,South,10,Standard,16.8,4,No,10-09-2019
C000013,25,Female,East,99,entry,19.94,1,0,01-12-2023
C000014,46,male,West,89,Standard,29.82,2,0,17-01-2020
C000015,41,Female,East,87,Standard,24.29,2,Yes,01-05-2021
C000016,28,Male,North,92,Basic,8.47,3,Yes,13-02-2025
C000017,27, Male  ,Ctr,102,Standard,30.87,1,0,19-07-2023
C000018,37,Female,East,100,mid,28.12,2,0,16-01-2024
C000019,47,Male,East,86,Premium,83.45,2,Yes,31-05-2022
C000020,30,Male,Nrt,13,Standard,37.86,1,Yes,23-09-2023
C000021,26, F  ,Central,41,Basic,13.85,0,Yes,23-04-2024
C000022,31,Female,South,100,premium,43.1,1,1,15-04-2024
C000023,30,Female, South,11,Standard,19.2,2,1,20-05-2025
C000024,39,Female,Sth,22,Premium,₹91.87,2,0,27-07-2019
C000025,47,Female,North,43,Basic,16.07,1,1,21-12-2023
C000026,50,Male,North,106,Premium,69.13,0,0,25-07-2025
C000027,57,F,Central,33,Premium,₹70.77,0,0,17-12-2023
C000028,34,Female,North,41,Standard,29.1,1,0,29-03-2019
C000029,38,Female,Central,99,Standard,32.52,0,0,15-04-2023
C000030,43,Male,East,44,Basic,₹16.84,1,0,26-08-2019
C000031,39,Male,West,107,Standard,33.91,0,0,20-11-2024
C000032,31,Male,East,66,Basic,14.81,0,0,26-07-2022
C000033,39,Female,North,36,Premium,85.93,0,0,22-04-2022
C000034,36,Female, South,63,Premium,74.5,0,0,17-03-2024
C000035,48,Male,West,17,Standard,35.97,1,0,07-03-2021
C000036,57,MALE ,Central,76,Standard,32.22,1,0,24-11-2023
C000037,30,Male,East,99,Basic,18.73,2,0,29-04-2022
C000038,21,Male,West,1,Basic,6.38,3,Yes,27-03-2023
C000039,29,Female,East,11,Basic,11.69,1,1,02-04-2023
C000040,36,Male,South,47,Standard,37.21,3,0,26-02-2019
C000041,38,female,West,39, basic  ,9.36,0,0,18-12-2020
C000042,18,Male,Central,38, pro ,₹36.04,1,0,23-06-2024
C000043,35,male,West,43,Standard,24.61,0,0,28-02-2019
C000044,40,Male,East,15,Basic,10.75,0,1,14-09-2021
C000045,34,Female,   West ,85,Basic,6.48,2,No,21-11-2024
C000046,32, m ,East,70,Standard,23.67,1,0,18-09-2022
C000047,33,Female,Central,18,basic,5.44,0,Yes,17-05-2020
C000048,53,Female,Central,49,Premium,₹98.84,1,0,22-01-2019
C000049,22,FEMALE,Central,42,Basic,13.4,1,0,10-04-2020
C000050,53,Female,South,98,Standard,19.62,0,0,04-11-2019
C000051,37,Male,North,53,Basic,9.4,0,0,04-09-2020
C000052,18,Female,Est,25,Basic,7.88,0,0,16-03-2021
C000053,18,Female,East,107,entry,18.32,2,1,08-12-2020
C000054,18,Male,East,62,mid,24.64,2,Yes,18-07-2022
C000055,28,F,EAST,6,Standard,27.96,2,0,12-11-2023
C000056,18,Female,South,8,Basic,16.28,1,0,11-08-2025
C000057,25,female,Ctr,6,Premium,₹92.32,2,0,15-04-2021
C000058,45,Male,North,116,Premium,58.9,3,No,30-09-2019
c000059,32,M,South,74,Basic,19.14,2,0,15-01-2022
C000060,30,Male,   West ,41,gold,79.77,1,0,25-03-2023
C000061,35,Male,   West ,112,mid,16.42,1,0,07-11-2020
C000062,30,Male,Central,59, pro ,34.85,2,0,22-09-2023
C000063,55,Female,EAST,8,Basic,13.66,2,0,09-06-2020
C000064,21,MALE ,North,54,gold,39.81,1,0,08-01-2023
C000065,42,Female,North,40,Standard,28.05,2,1,23-02-2020
C000066,34,Female,Central,80,Basic,12.75,0,0,24-06-2024
C000067,40,Female,North,30,Premium,44.35,2,0,25-12-2020
C000068,27,Male, East  ,104,STD,30.55,0,0,29-04-2020
C000069,19,Female,North  ,67,premium,79.77,3,1,10-10-2021
C000070,33,Female,East,71,Basic,15.47,1,0,14-11-2023
C000071,18,Male, Central  ,39,Basic,7.9,0,No,26-05-2023
C000072,40,Male,Ctr,23,Enterprise,109.41,2,0,25-07-2022
C000073,36,male,Sth,82,Standard,24.7,0,0,15-10-2021
C000074,40,M,Nrt,75,Standard,29.39,0,0,04-12-2020
C000075,44,F,East,86,Standard,33.08,1,0,01-11-2023
C000076,25,Male,Central,49,Standard,22.2,0,0,17-07-2021
C000077,31,Male,South,101,Premium,82.67,0,No,19-01-2019
C000078,25,Female,CENTRAL,52,Standard,23.4,0,1,30-07-2021
C000079,39,Female,South,40,Basic,12.65,1,1,29-10-2024
C000080,32,Male,South,50,Premium,96,2,No,18-11-2020
C000081,41,Female,South,99,Basic,9.6,3,0,13-01-2019
C000082,33,Male,CENTRAL,93,STD,20.93,0,0,19-05-2020
C000083,22,Male,East,38,Standard,31.13,0,0,12-09-2023
C000084,37,Female,East,77,Standard,32.17,1,1,18-09-2024
C000085,27,F,West,38,Premium,47.83,1,Yes,04-08-2023
C000086,50,Male,North,40,Basic,₹13.89,1,0,16-05-2025
C000087,28,Female,North,76,Standard,18.25,2,1,10-08-2021
C000088,28,Male,East,19,BASIC,7.29,1,Yes,20-08-2021
C000089,59,Male,South,5,starter,19.42,0,1,02-11-2022
C000090,40,Female,West,26,Premium,50.61,0,0,27-04-2024
C000091,40,Male,NORTH,38,Standard,35.41,0,Yes,02-05-2023
C000092,35,Female,West,101,Standard,39.19,3,0,30-12-2020
C000093,36,Male,West,91,Basic,14.77,1,0,15-05-2025
C000094,36,Male,East,71,Basic,11.36,1,0,01-07-2023
C000095,50,Female,North,45,starter,9.51,1,No,20-02-2024
C000096,51,Male,Central,19,corp,₹193.20,2,0,26-07-2022
C000097,46,Female,East,36,PRM,58.07,0,0,05-01-2019
C000098,47,Male,East,86,Standard,36.33,2,No,11-01-2019
C000099,43,Female,Central,52,Standard,18.09,0,0,07-11-2024
C000100,18,Female,West,2,BASIC,₹8.49,1,1,02-12-2024
C000101,30,Female,West,50,Basic,15.95,1,1,09-11-2024
C000102,57,Male,East,19,Standard,17.79,1,No,01-06-2024
C000103,18,Female,West,19,Standard,20.29,1,0,03-06-2020
C000104,44,nonbinary,Central,108,basic,7.53,0,0,29-07-2019
C000105,40,Female,Ctr,27,STD,18.86,1,0,20-11-2023
C000106,51,Female,West,48, basic  ,7.69,2,0,31-08-2023
C000107,56,Female,North,60,Standard,33.83,1,0,22-04-2022
C000108,35, m ,South,8,Standard,17.51,0,1,08-03-2019
C000109,26,Female,South,24,Standard,27.78,1,No,27-02-2025
C000110,46,Male,West,112,Standard,33.74,0,0,27-11-2022
C000111,43,Male,East,95,Standard,38.31,1,0,02-07-2023
C000112,24,MALE ,East,52,Basic,10.6,1,0,27-12-2022
C000113,33, fem ,South,16,Basic,5.62,1,0,05-12-2020
C000114,32,Male,East,42,Standard,17.46,1,No,15-12-2019
C000115,35,Female,East,27,Basic,17.47,2,0,12-02-2025
C000116,44,Female,North,23,Premium,94.2,1,0,02-10-2021
C000117,41,Female,Wst,96,premium,93.64,2,0,06-01-2021
C000118,47,Male,Central,41,Standard,15.53,0,0,09-04-2024
C000119,44,Female,South,66,Basic,11.37,2,0,05-01-2021 00:00
C000120,58,Female,West,111,BASIC,18.66,0,,27-04-2020
C000121,42,Male,East,97,Premium,53.35,2,0,25-03-2024
C000122,19,Male,North,30,Premium,95.12,1,0,15-02-2020
C000123,25,Female,East,52,Basic,₹7.37,1,0,14-08-2025
C000124,29,Male,West,102,Standard,22.29,2,0,10-07-2025
C000125,35,MALE ,North,16, Standard  ,₹23.87,0,0,02-07-2019
C000126,28,Female,South,68,Standard,21.14,2,0,24-09-2023
C000127,37,Non-binary,North,69,Premium,63.27,1,0,09-08-2023
C000128,34,Female,North,15,Standard,20.65,1,0,05-04-2020
C000129,0, m ,WEST,80,STD,27.17,1,0,05-12-2023
C000130,27,MALE ,Central,2,Basic,₹12.93,2,Yes,03-11-2019
C000131,30,Male,North,47,Premium,96.51,1,Yes,31-01-2019
C000132,35,Female,North,79,Premium,89.45,0,0,19-06-2024
C000133,35,Female,East,101,Premium,97.9,2,Yes,18-01-2019
C000134,18,Female,Central,4,Basic,11.9,0,0,29-05-2019
C000135,44,Male,East,41,Standard,38.6,3,0,15-01-2021
C000136,43,Male,West,90,Basic,10.55,0,0,14-03-2023
C000137,36,Male,East,91,Basic,17.23,1,0,05-11-2021
C000138,31,FEMALE,Central-,41,Premium,₹81.62,2,0,28-02-2025
C000139,39,NULL,NA,120,-,16.26,1,0,20-03-2019
C000140,40,Female,North,40,Premium,73.57,2,0,17-01-2022
C000141,28,Male,West,5,Standard,20.79,2,0,24-08-2020
C000142,54,na,North,65,Basic,5.98,3,0,21-10-2020
C000143,49,Male,North,81,PRM,₹70.42,3,0,26-07-2023
C000144,20,Female,North,97,PRM,62.92,3,0,07-06-2025
C000145,43,Female,Sth,15,Standard,19.39,2,0,09-03-2020
C000146,18,Male,East,108,Standard,23.9,2,1,18-03-2024
C000147,18, fem ,East,63,entry,9.82,1,0,29-03-2020
C000148,25,M,North,79,Standard,15.88,0,0,30-08-2024
C000149,20,Male,South,60,Standard,₹28.04,1,0,01-02-2020
C000150,41,Male,South,59,Basic,5.77,1,1,31-08-2022
C000151,38,Male,WEST,97,Basic,13.62,0,Yes,13-06-2022
C000152,32,Non-binary,South,86,Premium,50.6,0,0,16-04-2024
C000153,44,FEMALE,South,63,Basic,12.46,3,0,26-06-2024
C000154,28,Male,South,97,Basic,18.23,0,1,04-01-2022
C000155,46,Male, South,117,Standard,34.26,0,0,18-10-2021
C000156,49,Male,Ctr,76,Premium,56.18,0,0,07-08-2025
C000157,58,Male,Central,84,Basic,9.75,0,0,18-05-2021
C000158,35,Male,West,58,Standard,₹29.44,3,0,01-12-2024
C000159,39, m ,NORTH,97,Basic,6.89,2,0,16-04-2024
C000160,44,Male,North  ,105,Standard,38.41,1,0,22-09-2024
C000161,43,Male,West,35,Basic,18.35,1,0,26-08-2021
C000162,33,Female,East,86, pro ,26.94,2,0,22-02-2024
C000163,43,Female,NORTH,97,Premium,93.55,0,0,15-12-2023
C000164,56, fem ,Central,119,Standard,17.28,2,1,16-04-2023
C000165,29,Female,Central-,73,Premium,50.55,0,0,06-06-2021
C000166,36,Male,Central,102,corp,216.86,1,0,04-03-2021
C000167,18,male,Wst,89,Premium,63.77,1,No,08-07-2021
C000168,51, Male  ,East,71,Premium,58.99,0,0,17-06-2024
C000169,38,Female,West,42,Premium,₹90.35,5,0,20-03-2019
C000170,18,Male,North,14, STD  ,39.2,1,0,06-09-2024
C000171,43,Male,Central,85,Basic,7.66,0,0,07-01-2023
C000172,59,Male,East,103,Standard,20.84,1,0,13-02-2024
C000173,42,Female,South,117,Basic,11.11,2,0,16-11-2019
C000174,37,Male,CENTRAL,79,Premium,53.03,1,0,28-12-2020
C000175,39,Male,Sth,20,Standard,₹18.89,0,0,13-09-2019
C000176,35,Female,North,23,Basic,14.57,0,No,10-03-2021
C000177,35,Female,East,81,Basic,8.92,0,1,14-12-2023
C000178,41,Male,East,69,Standard,39.76,0,Yes,09-12-2022
C000179,44,FEMALE,   West ,77,Premium,57.12,2,0,15-07-2025
C000180,37,Male,West,8,Standard,24.06,0,No,23-12-2022
C000181,34,Female,West,62,Premium,87.91,2,0,19-05-2019
C000182,42,Female,EAST,52,Standard,39.47,1,0,28-03-2024
