Customer_ID,Age,Gender,Region,Tenure_Months,Subscription_Type,Monthly_Spend,Support_Tickets,Churn_Flag,Signup_Date,Annual_Spend,Signup_Year,Tenure_Group,Spend_Group
C000001,18,Female,South,9,Standard,34.02,1,0,17-02-2024,408.24,2024,6-12 mo,Q3
C000002,18,Male,Central,60,Basic,6.96,2,0,05-01-2023,83.52,2023,2-5 yr,Q1 low
C000003,53,Female,Central,13,Standard,19.16,3,0,18-09-2020,229.92,2020,1-2 yr,Q2
C000004,27,Female,North,91,Basic,15.29,0,0,30-10-2024,183.48,2024,5-10 yr,Q1 low
C000005,38,Female,North,71,Standard,37.09,0,0,20-07-2021,445.08,2021,5-10 yr,Q3
C000006,26,Male,East,29,Standard,23.91,2,0,17-10-2024,286.92,2024,2-5 yr,Q2
C000007,25,Female,South,65,Standard,34.73,2,1,02-11-2021,416.76,2021,5-10 yr,Q3
C000008,22,Non-binary,South,54,Basic,16.76,0,0,26-02-2024,201.12,2024,2-5 yr,Q2
C000009,23,Female,West,59,Standard,34.91,2,,27-11-2021,418.92,2021,2-5 yr,Q3
C000010,27,Female,West,21,Basic,17.04,3,0,08-12-2019,204.48,2019,1-2 yr,Q2
C000011,28,Female,East,55,Enterprise,136.29,0,0,29-08-2023,1635.48,2023,2-5 yr,Q4 high
C000012,23,Female,South,10,Standard,16.8,4,0,10-09-2019,201.6,2019,6-12 mo,Q2
C000013,25,Female,East,99,Basic,19.94,1,0,01-12-2023,239.28,2023,5-10 yr,Q2
C000014,46,Male,West,89,Standard,29.82,2,0,17-01-2020,357.84,2020,5-10 yr,Q3
C000015,41,Female,East,87,Standard,24.29,2,1,01-05-2021,291.48,2021,5-10 yr,Q2
C000016,28,Male,North,92,Basic,8.47,3,1,13-02-2025,101.64,2025,5-10 yr,Q1 low
C000017,27,Male,Central,102,Standard,30.87,1,0,19-07-2023,370.44,2023,5-10 yr,Q3
C000018,37,Female,East,100,Standard,28.12,2,0,16-01-2024,337.44,2024,5-10 yr,Q3
C000019,47,Male,East,86,Premium,83.45,2,1,31-05-2022,1001.4,2022,5-10 yr,Q4 high
C000020,30,Male,North,13,Standard,37.86,1,1,23-09-2023,454.32,2023,1-2 yr,Q3
C000021,26,Female,Central,41,Basic,13.85,0,1,23-04-2024,166.2,2024,2-5 yr,Q1 low
C000022,31,Female,South,100,Premium,43.1,1,1,15-04-2024,517.2,2024,5-10 yr,Q3
C000023,30,Female,South,11,Standard,19.2,2,1,20-05-2025,230.4,2025,6-12 mo,Q2
C000024,39,Female,South,22,Premium,91.87,2,0,27-07-2019,1102.44,2019,1-2 yr,Q4 high
C000025,47,Female,North,43,Basic,16.07,1,1,21-12-2023,192.84,2023,2-5 yr,Q2
C000026,50,Male,North,106,Premium,69.13,0,0,25-07-2025,829.56,2025,5-10 yr,Q4 high
C000027,57,Female,Central,33,Premium,70.77,0,0,17-12-2023,849.24,2023,2-5 yr,Q4 high
C000028,34,Female,North,41,Standard,29.1,1,0,29-03-2019,349.2,2019,2-5 yr,Q3
C000029,38,Female,Central,99,Standard,32.52,0,0,15-04-2023,390.24,2023,5-10 yr,Q3
C000030,43,Male,East,44,Basic,16.84,1,0,26-08-2019,202.08,2019,2-5 yr,Q2
C000031,39,Male,West,107,Standard,33.91,0,0,20-11-2024,406.92,2024,5-10 yr,Q3
C000032,31,Male,East,66,Basic,14.81,0,0,26-07-2022,177.72,2022,5-10 yr,Q1 low
C000033,39,Female,North,36,Premium,85.93,0,0,22-04-2022,1031.16,2022,2-5 yr,Q4 high
C000034,36,Female,South,63,Premium,74.5,0,0,17-03-2024,894,2024,5-10 yr,Q4 high
C000035,48,Male,West,17,Standard,35.97,1,0,07-03-2021,431.64,2021,1-2 yr,Q3
C000036,57,Male,Central,76,Standard,32.22,1,0,24-11-2023,386.64,2023,5-10 yr,Q3
C000037,30,Male,East,99,Basic,18.73,2,0,29-04-2022,224.76,2022,5-10 yr,Q2
C000038,21,Male,West,1,Basic,6.38,3,1,27-03-2023,76.56,2023,0-6 mo,Q1 low
C000039,29,Female,East,11,Basic,11.69,1,1,02-04-2023,140.28,2023,6-12 mo,Q1 low
C000040,36,Male,South,47,Standard,37.21,3,0,26-02-2019,446.52,2019,2-5 yr,Q3
C000041,38,Female,West,39,Basic,9.36,0,0,18-12-2020,112.32,2020,2-5 yr,Q1 low
C000042,18,Male,Central,38,Standard,36.04,1,0,23-06-2024,432.48,2024,2-5 yr,Q3
C000043,35,Male,West,43,Standard,24.61,0,0,28-02-2019,295.32,2019,2-5 yr,Q2
C000044,40,Male,East,15,Basic,10.75,0,1,14-09-2021,129,2021,1-2 yr,Q1 low
C000045,34,Female,West,85,Basic,6.48,2,0,21-11-2024,77.76,2024,5-10 yr,Q1 low
C000046,32,Male,East,70,Standard,23.67,1,0,18-09-2022,284.04,2022,5-10 yr,Q2
C000047,33,Female,Central,18,Basic,5.44,0,1,17-05-2020,65.28,2020,1-2 yr,Q1 low
C000048,53,Female,Central,49,Premium,98.84,1,0,22-01-2019,1186.08,2019,2-5 yr,Q4 high
C000049,22,Female,Central,42,Basic,13.4,1,0,10-04-2020,160.8,2020,2-5 yr,Q1 low
C000050,53,Female,South,98,Standard,19.62,0,0,04-11-2019,235.44,2019,5-10 yr,Q2
C000051,37,Male,North,53,Basic,9.4,0,0,04-09-2020,112.8,2020,2-5 yr,Q1 low
C000052,18,Female,East,25,Basic,7.88,0,0,16-03-2021,94.56,2021,2-5 yr,Q1 low
C000053,18,Female,East,107,Basic,18.32,2,1,08-12-2020,219.84,2020,5-10 yr,Q2
C000054,18,Male,East,62,Standard,24.64,2,1,18-07-2022,295.68,2022,5-10 yr,Q2
C000055,28,Female,East,6,Standard,27.96,2,0,12-11-2023,335.52,2023,0-6 mo,Q3
C000056,18,Female,South,8,Basic,16.28,1,0,11-08-2025,195.36,2025,6-12 mo,Q2
