Customer_ID,Churn_Flag,Exit_Reason_Text
C056039,1,"mobile experience was unreliable and often crashed Additionally, after piloting, the outcomes did not justify the cost they had a more flexible contract and transparent billing Additionally, my tickets stayed open for weeks without clear updates Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C012820,1,"training resources were generic and not role specific Additionally, initial setup was complicated and poorly documented competitors offered a similar plan at a lower monthly rate Additionally, the ROI for our team was unclear and hard to measure handoffs between agents made me repeat the same details Additionally, page load times increased significantly during peak hours Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C071448,1,"support response times were slow during critical issues Additionally, training resources were generic and not role specific friends recommended another tool with simpler workflows Additionally, discounts were inconsistent and the renewal price surprised me Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C008209,1,"the value for money did not feel right after the first few months Additionally, a competitor offered better analytics and clean dashboards integrations with other tools were limited and brittle Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C012447,1,"From my perspective,"
C082439,1,"pricing felt too high for the features I actually used Additionally, I needed proactive guidance but only received scripted replies mobile experience was unreliable and often crashed Additionally, pricing felt too high for the features I actually used Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C073802,1,"<p>I needed proactive guidance but only received scripted replies Additionally, handoffs between agents made me repeat the same details integrations with other tools were limited and brittle Additionally, integrations with other tools were limited and brittle a competitor offered better analytics and clean dashboards Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.</p>"
C015888,1,"training resources were generic and not role specific Additionally, initial setup was complicated and poorly documented integrations with other tools were limited and brittle Additionally, competitors offered a similar plan at a lower monthly rate the value for money did not feel right after the first few months Additionally, we used only a small subset of the product capabilities Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C049398,1,"support response times were slow during critical issues Additionally, my tickets stayed open for weeks without clear updates account migration from our old system had errors Additionally, reports took too long to generate for leadership meetings Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C089374,0,"my tickets stayed open for weeks without clear updates Additionally, we could not secure budget for the next cycle downtimes happened right before our deliverables Additionally, sync jobs failed randomly and required manual reruns Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
C037056,1,"support response times were slow during critical issues Additionally, a competitor offered better analytics and clean dashboards integrations with other tools were limited and brittle Additionally, integrations with other tools were limited and brittle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay."
