Customer_ID,Churn_Flag,text,usable,primary_reason,mood,flag_Price,flag_Value,flag_Support,flag_Product,flag_Performance,flag_Onboarding,flag_Competitor
C056039,1.0,"mobile experience was unreliable and often crashed Additionally, after piloting, the outcomes did not justify the cost they had a more flexible contract and transparent billing Additionally, my tickets stayed open for weeks without clear updates Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Frustrated,0,1,1,0,1,0,1
C012820,1.0,"training resources were generic and not role specific Additionally, initial setup was complicated and poorly documented competitors offered a similar plan at a lower monthly rate Additionally, the ROI for our team was unclear and hard to measure handoffs between agents made me repeat the same details Additionally, page load times increased significantly during peak hours Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,1,1,0,1,1,0
C071448,1.0,"support response times were slow during critical issues Additionally, training resources were generic and not role specific friends recommended another tool with simpler workflows Additionally, discounts were inconsistent and the renewal price surprised me Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Disappointed,1,0,1,0,0,1,1
C008209,1.0,"the value for money did not feel right after the first few months Additionally, a competitor offered better analytics and clean dashboards integrations with other tools were limited and brittle Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Disappointed,0,1,0,1,0,0,1
C012447,1.0,"From my perspective,",False,Unclassified,Neutral,0,0,0,0,0,0,0
C082439,1.0,"pricing felt too high for the features I actually used Additionally, I needed proactive guidance but only received scripted replies mobile experience was unreliable and often crashed Additionally, pricing felt too high for the features I actually used Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,0,1,0,1,0,0
C073802,1.0,"I needed proactive guidance but only received scripted replies Additionally, handoffs between agents made me repeat the same details integrations with other tools were limited and brittle Additionally, integrations with other tools were limited and brittle a competitor offered better analytics and clean dashboards Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Support,Frustrated,0,0,1,1,0,0,1
C015888,1.0,"training resources were generic and not role specific Additionally, initial setup was complicated and poorly documented integrations with other tools were limited and brittle Additionally, competitors offered a similar plan at a lower monthly rate the value for money did not feel right after the first few months Additionally, we used only a small subset of the product capabilities Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,1,0,1,0,1,0
C049398,1.0,"support response times were slow during critical issues Additionally, my tickets stayed open for weeks without clear updates account migration from our old system had errors Additionally, reports took too long to generate for leadership meetings Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Support,Frustrated,0,0,1,0,1,1,0
C089374,0.0,"my tickets stayed open for weeks without clear updates Additionally, we could not secure budget for the next cycle downtimes happened right before our deliverables Additionally, sync jobs failed randomly and required manual reruns Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Frustrated,0,1,1,0,1,0,0
C037056,1.0,"support response times were slow during critical issues Additionally, a competitor offered better analytics and clean dashboards integrations with other tools were limited and brittle Additionally, integrations with other tools were limited and brittle Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Support,Hopeful,0,0,1,1,0,0,1
C073944,1.0,"training resources were generic and not role specific Additionally, initial setup was complicated and poorly documented the ROI for our team was unclear and hard to measure Additionally, pricing felt too high for the features I actually used Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,1,0,0,0,1,0
C013676,1.0,"friends recommended another tool with simpler workflows Additionally, it took weeks before we were confident with the basics the value for money did not feel right after the first few months Additionally, reports took too long to generate for leadership meetings reports took too long to generate for leadership meetings Additionally, key features were missing for my workflow and team Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Disappointed,0,1,0,1,1,1,1
C080491,0.0,"account migration from our old system had errors Additionally, we got a bundled offer that included priority support the interface felt cluttered and confusing for new users Additionally, I needed proactive guidance but only received scripted replies Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Frustrated,0,1,1,1,0,1,0
C061314,1.0,"the ROI for our team was unclear and hard to measure Additionally, downtimes happened right before our deliverables discounts were inconsistent and the renewal price surprised me Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Disappointed,1,1,0,0,1,0,0
C051099,1.0,"reports took too long to generate for leadership meetings Additionally, pricing felt too high for the features I actually used key features were missing for my workflow and team Additionally, training resources were generic and not role specific Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Hopeful,1,0,0,1,1,1,0
C059941,1.0,"mobile experience was unreliable and often crashed Additionally, integrations with other tools were limited and brittle pricing felt too high for the features I actually used Additionally, page load times increased significantly during peak hours we used only a small subset of the product capabilities Additionally, initial setup was complicated and poorly documented Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,1,0,1,1,1,0
C083431,1.0,"it took weeks before we were confident with the basics Additionally, page load times increased significantly during peak hours they had a more flexible contract and transparent billing Additionally, support response times were slow during critical issues Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Support,Hopeful,0,0,1,0,1,1,1
C064398,0.0,"account migration from our old system had errors Additionally, a competitor offered better analytics and clean dashboards page load times increased significantly during peak hours Additionally, a competitor offered better analytics and clean dashboards Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Performance,Hopeful,0,0,0,0,1,1,1
C054901,1.0,reports took too long to,True,Performance,Neutral,0,0,0,0,1,0,0
C022895,0.0,"handoffs between agents made me repeat the same details Additionally, we got a bundled offer that included priority support it took weeks before we were confident with the basics Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Frustrated,0,1,1,0,0,1,0
C002740,1.0,"pricing felt too high for the features I actually used Additionally, reports took too long to generate for leadership meetings mobile experience was unreliable and often crashed Additionally, they had a more flexible contract and transparent billing Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,0,0,0,1,0,1
C083323,1.0,integrations with other tools,True,Product,Neutral,0,0,0,1,0,0,0
C055575,1.0,"handoffs between agents made me repeat the same details Additionally, reports took too long to generate for leadership meetings friends recommended another tool with simpler workflows Additionally, it took weeks before we were confident with the basics Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Support,Frustrated,0,0,1,0,1,1,1
C048078,1.0,"friends recommended another tool with simpler workflows Additionally, handoffs between agents made me repeat the same details it took weeks before we were confident with the basics Additionally, competitors offered a similar plan at a lower monthly rate we used only a small subset of the product capabilities Additionally, they had a more flexible contract and transparent billing Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,1,1,0,0,1,1
C078900,1.0,"page load times increased significantly during peak hours Additionally, discounts were inconsistent and the renewal price surprised me support response times were slow during critical issues Additionally, downtimes happened right before our deliverables Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Disappointed,1,0,1,0,1,0,0
C084318,1.0,"we used only a small subset of the product capabilities Additionally, downtimes happened right before our deliverables the interface felt cluttered and confusing for new users Additionally, friends recommended another tool with simpler workflows Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Hopeful,0,1,0,1,1,0,1
C092863,1.0,"training resources were generic and not role specific Additionally, reports took too long to generate for leadership meetings I needed proactive guidance but only received scripted replies Additionally, I needed proactive guidance but only received scripted replies Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Support,Frustrated,0,0,1,0,1,1,0
C034331,1.0,"page load times increased significantly during peak hours Additionally, training resources were generic and not role specific support response times were slow during critical issues Additionally, the interface felt cluttered and confusing for new users Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Support,Hopeful,0,0,1,1,1,1,0
C035049,0.0,"we used only a small subset of the product capabilities Additionally, discounts were inconsistent and the renewal price surprised me we got a bundled offer that included priority support Additionally, training resources were generic and not role specific initial setup was complicated and poorly documented Additionally, account migration from our old system had errors Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,1,0,0,0,1,0
C079504,1.0,"friends recommended another tool with simpler workflows Additionally, competitors offered a similar plan at a lower monthly rate I needed proactive guidance but only received scripted replies Additionally, we got a bundled offer that included priority support we could not secure budget for the next cycle Additionally, they had a more flexible contract and transparent billing Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Price,Frustrated,1,1,1,0,0,0,1
C045696,1.0,"we could not secure budget for the next cycle Additionally, downtimes happened right before our deliverables key features were missing for my workflow and team Additionally, the value for money did not feel right after the first few months Overall, I believe clearer communication, predictable pricing, and faster support would have helped us stay.",True,Value,Disappointed,0,1,0,1,1,0,0
